"lat_grid","lon_grid","micronec_epi","micronec_episd","year","month"
-20,40,0.656867241249904,NA,2014,1
-20,42,0.954308491609123,NA,2014,1
-20,44,1.83060077382382,NA,2014,1
-20,48,0.416913635441887,NA,2014,1
-20,50,0.470741077937106,NA,2014,1
-20,52,0.45755749987939,NA,2014,1
-20,54,0.493273589331123,NA,2014,1
-20,56,0.469216941344287,NA,2014,1
-20,58,0.438464279678787,NA,2014,1
-20,60,0.410895716270439,NA,2014,1
-20,62,0.374885201111415,NA,2014,1
-20,64,0.393145085495186,NA,2014,1
-20,66,0.440316739116585,NA,2014,1
-20,68,0.384336718570067,NA,2014,1
-20,70,0.375350205342896,NA,2014,1
-20,72,0.351704102803996,NA,2014,1
-20,74,0.340044828789395,NA,2014,1
-20,76,0.362275049094558,NA,2014,1
-20,78,0.363197550397887,NA,2014,1
-20,80,0.391060495959415,NA,2014,1
-20,82,0.395375820768056,NA,2014,1
-20,84,0.442492698567943,NA,2014,1
-20,86,0.482030993507754,NA,2014,1
-18,40,0.646693084729838,NA,2014,1
-18,42,0.967035013504149,NA,2014,1
-18,44,1.23808956974026,NA,2014,1
-18,48,0.393346273781072,NA,2014,1
-18,50,0.391299486714399,NA,2014,1
-18,52,0.433572684788549,NA,2014,1
-18,54,0.428019227665318,NA,2014,1
-18,56,0.439941405877805,NA,2014,1
-18,58,0.386015923521031,NA,2014,1
-18,60,0.381395449533084,NA,2014,1
-18,62,0.369619596435765,NA,2014,1
-18,64,0.367858878890967,NA,2014,1
-18,66,0.35117076514005,NA,2014,1
-18,68,0.308239777637545,NA,2014,1
-18,70,0.355032309038585,NA,2014,1
-18,72,0.402827266007862,NA,2014,1
-18,74,0.362276550809649,NA,2014,1
-18,76,0.348657066816978,NA,2014,1
-18,78,0.337374245176279,NA,2014,1
-18,80,0.345671485951771,NA,2014,1
-18,82,0.363553494759118,NA,2014,1
-18,84,0.390513131708761,NA,2014,1
-18,86,0.376979498893663,NA,2014,1
-16,40,0.571277818086501,NA,2014,1
-16,42,0.752687430439857,NA,2014,1
-16,44,0.86354332366701,NA,2014,1
-16,46,0.887710098548533,NA,2014,1
-16,48,1.48161308450084,NA,2014,1
-16,50,0.418976526850237,NA,2014,1
-16,52,0.38732596787317,NA,2014,1
-16,54,0.368188798411726,NA,2014,1
-16,56,0.417614496025961,NA,2014,1
-16,58,0.433357963433629,NA,2014,1
-16,60,0.339226773004532,NA,2014,1
-16,62,0.319662825369667,NA,2014,1
-16,64,0.318740686319942,NA,2014,1
-16,66,0.330677940495192,NA,2014,1
-16,68,0.315252966562947,NA,2014,1
-16,70,0.348011602954705,NA,2014,1
-16,72,0.330620412573746,NA,2014,1
-16,74,0.336687051715316,NA,2014,1
-16,76,0.341124412573634,NA,2014,1
-16,78,0.347797534587095,NA,2014,1
-16,80,0.340970051799497,NA,2014,1
-16,82,0.315638775928079,NA,2014,1
-16,84,0.307113961719718,NA,2014,1
-16,86,0.314869822553729,NA,2014,1
-14,40,0.589878642413066,NA,2014,1
-14,42,0.604006449454494,NA,2014,1
-14,44,0.551135250786432,NA,2014,1
-14,46,0.688198280329943,NA,2014,1
-14,48,0.829371480899907,NA,2014,1
-14,50,0.328433882277283,NA,2014,1
