"lat_grid","lon_grid","micronec_epi","micronec_episd","year","month"
-20,40,0.933353334358196,NA,2014,1
-20,42,1.11263927750873,NA,2014,1
-20,48,0.733636963477332,NA,2014,1
-20,50,0.852882187529784,NA,2014,1
-20,52,0.844125148346214,NA,2014,1
-20,54,0.788302180415374,NA,2014,1
-20,56,0.84306374931623,NA,2014,1
-20,58,1.04565877609553,NA,2014,1
-20,60,0.944886510178738,NA,2014,1
-20,62,0.854055261373802,NA,2014,1
-20,64,0.723515691817392,NA,2014,1
-20,66,0.73087700379939,NA,2014,1
-20,68,0.778682238645985,NA,2014,1
-20,70,0.766251085356118,NA,2014,1
-20,72,0.75209228164019,NA,2014,1
-20,74,0.7483346416418,NA,2014,1
-20,76,0.745425849435284,NA,2014,1
-20,78,0.766924531082205,NA,2014,1
-20,80,0.837005402595739,NA,2014,1
-20,82,0.883864878917173,NA,2014,1
-20,84,0.849574525717072,NA,2014,1
-20,86,0.816971889666973,NA,2014,1
-18,40,1.0198485059918,NA,2014,1
-18,42,1.10237846865054,NA,2014,1
-18,48,0.586459437589492,NA,2014,1
-18,50,0.745045001012869,NA,2014,1
-18,52,0.830127933913822,NA,2014,1
-18,54,0.792069198370087,NA,2014,1
-18,56,0.711068951404623,NA,2014,1
-18,58,0.719995459756996,NA,2014,1
-18,60,1.174560190089,NA,2014,1
-18,62,0.999283040249487,NA,2014,1
-18,64,0.828510126229175,NA,2014,1
-18,66,0.794144526220805,NA,2014,1
-18,68,0.738334258527605,NA,2014,1
-18,70,0.769664574728271,NA,2014,1
-18,72,0.848148631632969,NA,2014,1
-18,74,0.846541654111611,NA,2014,1
-18,76,0.818581144358816,NA,2014,1
-18,78,0.824633875097345,NA,2014,1
-18,80,0.973116738000704,NA,2014,1
-18,82,0.927826849192942,NA,2014,1
-18,84,0.859230684734026,NA,2014,1
-18,86,0.823643515186925,NA,2014,1
-16,40,0.942819399440046,NA,2014,1
-16,42,0.975184912339448,NA,2014,1
-16,44,0.904318575644206,NA,2014,1
-16,46,0.90303400281106,NA,2014,1
-16,50,0.78479973821426,NA,2014,1
-16,52,0.882650796273944,NA,2014,1
-16,54,0.781206453976799,NA,2014,1
-16,56,0.788745057829205,NA,2014,1
-16,58,0.665633512259456,NA,2014,1
-16,60,1.1390244811148,NA,2014,1
-16,62,0.887489085596415,NA,2014,1
-16,64,0.861509946872577,NA,2014,1
-16,66,0.861031681686426,NA,2014,1
-16,68,0.859856091670051,NA,2014,1
-16,70,0.868308572218783,NA,2014,1
-16,72,1.02488742957032,NA,2014,1
-16,74,0.930121356845036,NA,2014,1
-16,76,0.909785571538152,NA,2014,1
-16,78,0.902191141680364,NA,2014,1
-16,80,0.961561926400229,NA,2014,1
-16,82,0.982184567762452,NA,2014,1
-16,84,0.909734867913749,NA,2014,1
-16,86,0.897424474118217,NA,2014,1
-14,40,1.01413611450607,NA,2014,1
-14,42,1.04789589544926,NA,2014,1
-14,44,0.963196882284268,NA,2014,1
-14,46,0.923161956938499,NA,2014,1
-14,48,1.44471576503935,NA,2014,1
-14,50,0.834509927024607,NA,2014,1
-14,52,0.80626511858863,NA,2014,1
-14,54,0.74531621821425,NA,2014,1
-14,56,0.747515068703254,NA,2014,1
-14,58,0.725029222276663,NA,2014,1
-14,60,1.08011083228999,NA,2014,1
-14,62,1.17825236281974,NA,2014,1
-14,64,0.984135793014613,NA,2014,1
-14,66,1.09061366969246,NA,2014,1
-14,68,1.02383309255244,NA,2014,1
-14,70,1.01218823368217,NA,2014,1
-14,72,1.05711025511679,NA,2014,1
-14,74,1.06673868701169,NA,2014,1
-14,76,1.06518143252553,NA,2014,1
-14,78,1.03866455280038,NA,2014,1
-14,80,1.06119581751565,NA,2014,1
-14,82,1.04521888736168,NA,2014,1
-14,84,0.97200101306228,NA,2014,1
-14,86,0.986674732258243,NA,2014,1
-12,40,1.26113640332648,NA,2014,1
-12,42,0.967826917282512,NA,2014,1
-12,44,0.856814855486021,NA,2014,1
-12,46,0.866595198004072,NA,2014,1
-12,48,0.879943658634829,NA,2014,1
-12,50,0.923890972058747,NA,2014,1
-12,52,0.971754668474091,NA,2014,1
-12,54,0.925607995333744,NA,2014,1
-12,56,0.845642546965371,NA,2014,1
-12,58,0.850552405187865,NA,2014,1
-12,60,0.809039694816385,NA,2014,1
-12,62,1.24015325643351,NA,2014,1
-12,64,1.14074148453011,NA,2014,1
-12,66,1.05558019605095,NA,2014,1
-12,68,1.10931406535649,NA,2014,1
-12,70,1.15161637594009,NA,2014,1
-12,72,1.13427853035844,NA,2014,1
-12,74,1.07915455805919,NA,2014,1
-12,76,1.0302341294051,NA,2014,1
-12,78,0.982422921169002,NA,2014,1
-12,80,0.922930722318483,NA,2014,1
-12,82,0.923396846743494,NA,2014,1
-12,84,0.982403160760506,NA,2014,1
-12,86,0.99992137338205,NA,2014,1
-10,40,1.22799336237627,NA,2014,1
-10,42,1.01285819233625,NA,2014,1
-10,44,0.896601199159085,NA,2014,1
-10,46,1.04806164659828,NA,2014,1
-10,48,1.01888243802306,NA,2014,1
-10,50,1.2720441442391,NA,2014,1
-10,52,1.20668404288323,NA,2014,1
-10,54,1.19327254593039,NA,2014,1
-10,56,1.08040654662609,NA,2014,1
-10,58,1.06331792989525,NA,2014,1
-10,60,1.08573535781657,NA,2014,1
-10,62,1.23609042959436,NA,2014,1
-10,64,1.01136077536557,NA,2014,1
-10,66,0.970039530667246,NA,2014,1
-10,68,1.05832089585215,NA,2014,1
-10,70,1.06652299744217,NA,2014,1
-10,72,1.03046552280772,NA,2014,1
-10,74,0.95530836463749,NA,2014,1
-10,76,0.928964223218648,NA,2014,1
-10,78,0.944511558853864,NA,2014,1
-10,80,0.928776943615528,NA,2014,1
-10,82,0.953232500945822,NA,2014,1
-10,84,0.935134251722165,NA,2014,1
-10,86,0.971066919626087,NA,2014,1
-8,40,1.07601721103779,NA,2014,1
-8,42,1.06721285039619,NA,2014,1
-8,44,1.25312754780548,NA,2014,1
-8,46,1.24909384841747,NA,2014,1
-8,48,1.23454518580816,NA,2014,1
-8,50,1.24177908296213,NA,2014,1
-8,52,1.20110129830744,NA,2014,1
-8,54,1.22713384023237,NA,2014,1
-8,56,1.09741942090048,NA,2014,1
-8,58,1.00758428615935,NA,2014,1
-8,60,1.0897118673296,NA,2014,1
-8,62,1.22224593548084,NA,2014,1
-8,64,1.03928046957273,NA,2014,1
-8,66,1.01123736095765,NA,2014,1
-8,68,1.02354510637221,NA,2014,1
-8,70,0.971092863354199,NA,2014,1
-8,72,0.967170810566204,NA,2014,1
-8,74,0.887733766181548,NA,2014,1
-8,76,0.793152605223479,NA,2014,1
-8,78,0.761430450695096,NA,2014,1
-8,80,0.807778399617922,NA,2014,1
-8,82,0.826647091787108,NA,2014,1
-8,84,0.829057634504358,NA,2014,1
-8,86,0.851549862693715,NA,2014,1
-6,40,1.0967227931545,NA,2014,1
-6,42,1.19216591453907,NA,2014,1
-6,44,1.25655587563144,NA,2014,1
-6,46,1.47474133969355,NA,2014,1
-6,48,1.45240070566695,NA,2014,1
-6,50,1.40357721578263,NA,2014,1
-6,52,1.28689125639442,NA,2014,1
-6,54,1.24825247148753,NA,2014,1
-6,56,1.1474386173659,NA,2014,1
-6,58,1.12954438591583,NA,2014,1
-6,60,1.23131533496509,NA,2014,1
-6,62,1.06499809807827,NA,2014,1
-6,64,0.961099096270125,NA,2014,1
-6,66,1.0270611872249,NA,2014,1
-6,68,1.05148180452005,NA,2014,1
-6,70,0.86847932145568,NA,2014,1
-6,72,1.00251430343909,NA,2014,1
-6,74,0.905807067680183,NA,2014,1
-6,76,0.778973400442591,NA,2014,1
-6,78,0.743104574157052,NA,2014,1
-6,80,0.768204789021216,NA,2014,1
-6,82,0.76797116674336,NA,2014,1
-6,84,0.812451681789799,NA,2014,1
-6,86,0.811449231800213,NA,2014,1
-4,40,0.804184826786024,NA,2014,1
-4,42,0.507558330943588,NA,2014,1
-4,44,1.39454562714203,NA,2014,1
-4,46,2.06790467058258,NA,2014,1
-4,48,1.46467981033535,NA,2014,1
-4,50,1.62874278428841,NA,2014,1
-4,52,1.57750644789855,NA,2014,1
-4,54,1.38492984983077,NA,2014,1
-4,56,1.30131801424488,NA,2014,1
-4,58,1.14228406844921,NA,2014,1
-4,60,1.15150257087176,NA,2014,1
-4,62,1.07581166747463,NA,2014,1
-4,64,1.03851424292478,NA,2014,1
-4,66,0.977318839560593,NA,2014,1
-4,68,0.830997251521622,NA,2014,1
-4,70,0.836258130495213,NA,2014,1
-4,72,0.885889208571832,NA,2014,1
-4,74,0.923774236319153,NA,2014,1
-4,76,0.899925394070512,NA,2014,1
-4,78,0.879783523158841,NA,2014,1
-4,80,0.735802604639936,NA,2014,1
-4,82,0.72762843282179,NA,2014,1
-4,84,0.76338413807707,NA,2014,1
-4,86,0.783261149641006,NA,2014,1
-2,40,0.547966948319827,NA,2014,1
-2,42,0.460943405106533,NA,2014,1
-2,44,1.03943504825548,NA,2014,1
-2,46,1.7002954730951,NA,2014,1
-2,48,1.70949907203315,NA,2014,1
-2,50,1.62967162146016,NA,2014,1
-2,52,1.54572849543799,NA,2014,1
-2,54,1.32909431934731,NA,2014,1
-2,56,1.20950506094135,NA,2014,1
-2,58,1.20609230611567,NA,2014,1
-2,60,1.15891820158622,NA,2014,1
-2,62,1.12908515307759,NA,2014,1
-2,64,1.11100061228465,NA,2014,1
-2,66,1.02491043658266,NA,2014,1
-2,68,0.992455847985295,NA,2014,1
-2,70,1.0000238997835,NA,2014,1
-2,72,0.996053589069872,NA,2014,1
-2,74,0.94242377089183,NA,2014,1
-2,76,0.959243646201988,NA,2014,1
-2,78,0.908262971204482,NA,2014,1
-2,80,0.873084338338492,NA,2014,1
-2,82,0.871622143617053,NA,2014,1
-2,84,0.830902181432239,NA,2014,1
-2,86,0.848636396950291,NA,2014,1
0,42,0.307762881570415,NA,2014,1
0,44,0.501860323210821,NA,2014,1
0,46,0.849694643870637,NA,2014,1
0,48,1.15111465997807,NA,2014,1
0,50,1.45410150514188,NA,2014,1
0,52,1.69331166953329,NA,2014,1
0,54,1.47223341016359,NA,2014,1
0,56,1.2133216302231,NA,2014,1
0,58,1.24891736854776,NA,2014,1
0,60,1.17637309927734,NA,2014,1
0,62,1.18326779821467,NA,2014,1
